,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
245,LOG,2018-01-28T01:10:50.559Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T01:10:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
246,LOG,2018-01-30T03:10:53.572Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: CAL_HD55526 // OBS.ID: 1828983),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
247,LOG,2018-02-03T09:34:57.554Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB aborted after 1 seconds at 2018-02-03T09:34:47,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
248,LOG,2018-02-03T09:35:29.087Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB started at 2018-02-03T09:35:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
249,LOG,2018-02-03T09:40:43.603Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB started at 2018-02-03T09:40:43,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
250,LOG,2018-02-03T09:40:43.603Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
251,LOG,2018-01-27T05:06:37.059Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB continued at 2018-01-27T05:06:37,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
252,LOG,2018-02-05T16:30:56.280Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB finished (TERMINATED) in 68 seconds at 2018-02-05T16:30:56,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
253,LOG,2018-01-30T02:02:26.823Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: CAL_HD37160_GRAVITY_A0B2C1D0_HIGH-COMBINED_FT_3 // OBS.ID: 1787461),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
254,LOG,2018-01-30T02:03:06.458Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,ERROR: ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
255,LOG,2018-01-30T02:03:06.466Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB aborted after 40 seconds at 2018-01-30T02:03:06,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
256,LOG,2018-01-29T03:24:23.314Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T03:24:23,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
257,LOG,2018-01-29T02:58:29.608Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: M05_HD44893_MED_SPLIT // OBS.ID: 200429030),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
258,LOG,2018-01-29T03:04:45.848Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB aborted after 376 seconds at 2018-01-29T03:04:45,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
