,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,keywmask
132,LOG,2019-01-30T17:08:59.401Z,GRAVITY,wgv,wgv,wgv,bob_ins,128,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
133,LOG,2019-01-26T18:56:51.056Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB finished (TERMINATED) in 5521 seconds at 2019-01-26T18:56:51,0,0,,,
134,LOG,2019-01-29T08:10:10.739Z,GRAVITY,wgv,wgv,wgv,bob_ins,210,seq,,,,OB started at 2019-01-29T08:10:10,0,0,,,
135,LOG,2019-01-28T04:25:35.234Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,ACK ABORT (red),0,0,,,
136,LOG,2019-01-27T03:33:18.866Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB started at 2019-01-27T03:33:18,0,0,,,
137,LOG,2019-01-27T03:33:18.866Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,(OBS.NAME: M05_HD39040_MED_SPLIT // OBS.ID: 200454310),0,0,,,
138,LOG,2019-01-29T00:48:36.387Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T00:48:36,0,0,,,
139,LOG,2019-01-29T00:48:36.387Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_Betelgeuse_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265412),0,0,,,
140,LOG,2019-01-27T04:15:45.639Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB started at 2019-01-27T04:15:45,0,0,,,
141,LOG,2019-01-28T04:53:31.284Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB finished (TERMINATED) in 1672 seconds at 2019-01-28T04:53:31,0,0,,,
142,LOG,2019-01-28T04:53:38.505Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: SCI_RCnc // OBS.ID: 2093536),0,0,,,
143,LOG,2019-01-29T10:11:01.202Z,GRAVITY,wgv,wgv,wgv,bob_ins,210,seq,,,,OB finished (TERMINATED) in 7251 seconds at 2019-01-29T10:11:01,0,0,,,
144,LOG,2019-01-29T02:33:56.955Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T02:33:56,0,0,,,
145,LOG,2019-01-29T02:33:56.955Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_CE_Tau_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265442),0,0,,,
146,LOG,2019-01-27T21:42:36.414Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB paused at 2019-01-27T21:42:36,0,0,,,
147,LOG,2019-01-27T21:44:09.808Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB continued at 2019-01-27T21:44:09,0,0,,,
148,LOG,2019-01-27T21:45:22.926Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB finished (TERMINATED) in 6772 seconds at 2019-01-27T21:45:22,0,0,,,
149,LOG,2019-01-29T03:55:30.021Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1427 seconds at 2019-01-29T03:55:30,0,0,,,
150,LOG,2019-01-28T00:11:47.471Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 104 seconds at 2019-01-28T00:11:35,0,0,,,
151,LOG,2019-01-28T00:12:09.941Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:12:09,0,0,,,
152,LOG,2019-01-28T00:13:29.030Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:13:29,0,0,,,
